Country,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,Continent,Confirmed,Death
Afghanistan,3,Both,22,All Ages,294,All causes,1,Number,2019,251417.7504,292560.7528,214550.3153,Asia,251418,292561
Albania,3,Both,22,All Ages,294,All causes,1,Number,2019,22670.53001,28339.25408,17930.44094,Europe,22671,28340
Algeria,3,Both,22,All Ages,294,All causes,1,Number,2019,201110.9848,234167.9484,172237.5185,Africa,201111,234168
American Samoa,3,Both,22,All Ages,294,All causes,1,Number,2019,383.0963985,444.5785552,331.5663973,Europe,384,445
Andorra,3,Both,22,All Ages,294,All causes,1,Number,2019,619.7108192,753.2498488,500.4258581,Africa,620,754
Angola,3,Both,22,All Ages,294,All causes,1,Number,2019,184933.8167,219126.7491,154027.4196,North America,184934,219127
Antigua and Barbuda,3,Both,22,All Ages,294,All causes,1,Number,2019,609.8572375,684.5234046,542.0170984,South America,610,685
Argentina,3,Both,22,All Ages,294,All causes,1,Number,2019,348822.58,356183.6551,342133.3903,Europe,348823,356184
Armenia,3,Both,22,All Ages,294,All causes,1,Number,2019,27978.06079,31966.14134,24372.08495,Oceania,27979,31967
Australia,3,Both,22,All Ages,294,All causes,1,Number,2019,170852.4261,174127.3901,167797.2786,Europe,170853,174128
Austria,3,Both,22,All Ages,294,All causes,1,Number,2019,82489.999,83865.03198,81198.86846,Europe,82490,83866
Azerbaijan,3,Both,22,All Ages,294,All causes,1,Number,2019,75128.79333,85435.76767,67143.24377,North America,75129,85436
Bahamas,3,Both,22,All Ages,294,All causes,1,Number,2019,2731.393175,3263.671192,2320.110059,Asia,2732,3264
Bahrain,3,Both,22,All Ages,294,All causes,1,Number,2019,4265.867513,5087.539076,3552.800745,Asia,4266,5088
Bangladesh,3,Both,22,All Ages,294,All causes,1,Number,2019,849560.6026,1005578.685,712915.7555,North America,849561,1005579
Barbados,3,Both,22,All Ages,294,All causes,1,Number,2019,3093.210205,3539.175085,2662.29086,Europe,3094,3540
Belarus,3,Both,22,All Ages,294,All causes,1,Number,2019,121776.8231,150517.9493,99673.75387,Europe,121777,150518
Belgium,3,Both,22,All Ages,294,All causes,1,Number,2019,114073.536,116380.857,111912.4579,North America,114074,116381
Belize,3,Both,22,All Ages,294,All causes,1,Number,2019,1990.122157,2229.346098,1776.233267,Africa,1991,2230
Benin,3,Both,22,All Ages,294,All causes,1,Number,2019,93065.23842,115397.295,75824.86739,Asia,93066,115398
Bermuda,3,Both,22,All Ages,294,All causes,1,Number,2019,579.5979577,677.5726948,512.178287,South America,580,678
Bhutan,3,Both,22,All Ages,294,All causes,1,Number,2019,4252.350619,5016.629228,3505.330584,Europe,4253,5017
Bolivia (Plurinational State of),3,Both,22,All Ages,294,All causes,1,Number,2019,75910.01627,88752.51363,63483.31179,Africa,75911,88753
Bosnia and Herzegovina,3,Both,22,All Ages,294,All causes,1,Number,2019,37424.02977,45306.09782,30725.52908,South America,37425,45307
Botswana,3,Both,22,All Ages,294,All causes,1,Number,2019,21171.7875,25905.25655,17486.15264,Asia,21172,25906
Brazil,3,Both,22,All Ages,294,All causes,1,Number,2019,1411015.838,1448297.816,1375411.528,Europe,1411016,1448298
Brunei Darussalam,3,Both,22,All Ages,294,All causes,1,Number,2019,1880.298978,2081.369676,1703.405529,Africa,1881,2082
Bulgaria,3,Both,22,All Ages,294,All causes,1,Number,2019,124225.8787,148315.9964,103478.1724,Asia,124226,148316
Burkina Faso,3,Both,22,All Ages,294,All causes,1,Number,2019,201813.6323,235540.0475,176493.7877,Africa,201814,235541
Burundi,3,Both,22,All Ages,294,All causes,1,Number,2019,83466.28899,103201.5219,67512.83574,Africa,83467,103202
Cabo Verde,3,Both,22,All Ages,294,All causes,1,Number,2019,3500.55292,3846.379031,3183.21117,Asia,3501,3847
Cambodia,3,Both,22,All Ages,294,All causes,1,Number,2019,110850.7748,126115.4619,93245.21462,Africa,110851,126116
Cameroon,3,Both,22,All Ages,294,All causes,1,Number,2019,207271.2372,247442.3472,173019.9896,North America,207272,247443
Canada,3,Both,22,All Ages,294,All causes,1,Number,2019,288192.8507,291771.0173,284804.5673,Africa,288193,291772
Central African Republic,3,Both,22,All Ages,294,All causes,1,Number,2019,67754.81053,84361.49418,54903.17497,Africa,67755,84362
Chad,3,Both,22,All Ages,294,All causes,1,Number,2019,156649.0887,182081.2438,136454.3916,South America,156650,182082
Chile,3,Both,22,All Ages,294,All causes,1,Number,2019,113085.5188,116350.5472,110090.7086,Asia,113086,116351
China,3,Both,22,All Ages,294,All causes,1,Number,2019,10653448.03,12069759.95,9310978.432,South America,10653449,12069760
Colombia,3,Both,22,All Ages,294,All causes,1,Number,2019,246679.0803,306056.257,197926.6145,Africa,246680,306057
Comoros,3,Both,22,All Ages,294,All causes,1,Number,2019,5006.83702,5824.82838,4416.653579,Africa,5007,5825
Congo,3,Both,22,All Ages,294,All causes,1,Number,2019,35712.84006,42985.76007,29955.82755,North America,35713,42986
Cook Islands,3,Both,22,All Ages,294,All causes,1,Number,2019,165.4103762,192.8162504,144.4289753,Europe,166,193
Costa Rica,3,Both,22,All Ages,294,All causes,1,Number,2019,24415.69787,30137.7318,19699.34328,North America,24416,30138
Croatia,3,Both,22,All Ages,294,All causes,1,Number,2019,52311.37276,63011.93205,43188.54678,Europe,52312,63012
Cuba,3,Both,22,All Ages,294,All causes,1,Number,2019,105984.2436,124418.7697,89652.05846,Europe,105985,124419
Cyprus,3,Both,22,All Ages,294,All causes,1,Number,2019,8707.449859,9459.405078,8033.829428,Europe,8708,9460
Czechia,3,Both,22,All Ages,294,All causes,1,Number,2019,113802.7958,133911.9249,96617.54033,Africa,113803,133912
Côte d'Ivoire,3,Both,22,All Ages,294,All causes,1,Number,2019,182432.7826,210248.8963,158614.3964,North America,182433,210249
Democratic People's Republic of Korea,3,Both,22,All Ages,294,All causes,1,Number,2019,237057.3435,273992.6407,207399.842,North America,237058,273993
Democratic Republic of the Congo,3,Both,22,All Ages,294,All causes,1,Number,2019,564090.6527,658629.549,479764.6463,South America,564091,658630
Denmark,3,Both,22,All Ages,294,All causes,1,Number,2019,55373.76707,56889.11285,53956.74216,Africa,55374,56890
Djibouti,3,Both,22,All Ages,294,All causes,1,Number,2019,7575.485406,9507.68671,6125.326716,North America,7576,9508
Dominica,3,Both,22,All Ages,294,All causes,1,Number,2019,735.0275841,862.8131837,636.4973185,Africa,736,863
