Country,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,Confirmed,Death,,Continent,Population,,Contry,Populatio,Continen
Afghanistan,3,Both,22,All Ages,294,All causes,1,Number,2019,251417.7504,292560.7528,214550.3153,251418,292561,,Asia,38928341,,Afghanistan,38928341,Asia
Albania,3,Both,22,All Ages,294,All causes,1,Number,2019,22670.53001,28339.25408,17930.44094,22671,28340,,Europe,2877800,,Albania,2877800,Europe
Algeria,3,Both,22,All Ages,294,All causes,1,Number,2019,201110.9848,234167.9484,172237.5185,201111,234168,,Africa,43851043,,Algeria,43851043,Africa
Andorra,3,Both,22,All Ages,294,All causes,1,Number,2019,619.7108192,753.2498488,500.4258581,620,754,,Europe,77265,,Andorra,77265,Europe
Angola,3,Both,22,All Ages,294,All causes,1,Number,2019,184933.8167,219126.7491,154027.4196,184934,219127,,Africa,32866268,,Angola,32866268,Africa
Antigua and Barbuda,3,Both,22,All Ages,294,All causes,1,Number,2019,609.8572375,684.5234046,542.0170984,610,685,,North America,97928,,Antigua and Barbuda,97928,North America
Argentina,3,Both,22,All Ages,294,All causes,1,Number,2019,348822.58,356183.6551,342133.3903,348823,356184,,South America,45195777,,Argentina,45195777,South America
Armenia,3,Both,22,All Ages,294,All causes,1,Number,2019,27978.06079,31966.14134,24372.08495,27979,31967,,Europe,2963234,,Armenia,2963234,Europe
Australia,3,Both,22,All Ages,294,All causes,1,Number,2019,170852.4261,174127.3901,167797.2786,170853,174128,,Oceania,25499881,,Australia,25499881,Oceania
Austria,3,Both,22,All Ages,294,All causes,1,Number,2019,82489.999,83865.03198,81198.86846,82490,83866,,Europe,9006400,,Austria,9006400,Europe
Azerbaijan,3,Both,22,All Ages,294,All causes,1,Number,2019,75128.79333,85435.76767,67143.24377,75129,85436,,Europe,10139175,,Azerbaijan,10139175,Europe
Bahamas,3,Both,22,All Ages,294,All causes,1,Number,2019,2731.393175,3263.671192,2320.110059,2732,3264,,North America,393248,,Bahamas,393248,North America
Bahrain,3,Both,22,All Ages,294,All causes,1,Number,2019,4265.867513,5087.539076,3552.800745,4266,5088,,Asia,1701583,,Bahrain,1701583,Asia
Bangladesh,3,Both,22,All Ages,294,All causes,1,Number,2019,849560.6026,1005578.685,712915.7555,849561,1005579,,Asia,164689383,,Bangladesh,164689383,Asia
Barbados,3,Both,22,All Ages,294,All causes,1,Number,2019,3093.210205,3539.175085,2662.29086,3094,3540,,North America,287371,,Barbados,287371,North America
Belarus,3,Both,22,All Ages,294,All causes,1,Number,2019,121776.8231,150517.9493,99673.75387,121777,150518,,Europe,9449321,,Belarus,9449321,Europe
Belgium,3,Both,22,All Ages,294,All causes,1,Number,2019,114073.536,116380.857,111912.4579,114074,116381,,Europe,11589616,,Belgium,11589616,Europe
Belize,3,Both,22,All Ages,294,All causes,1,Number,2019,1990.122157,2229.346098,1776.233267,1991,2230,,North America,397621,,Belize,397621,North America
Benin,3,Both,22,All Ages,294,All causes,1,Number,2019,93065.23842,115397.295,75824.86739,93066,115398,,Africa,12123198,,Benin,12123198,Africa
Bhutan,3,Both,22,All Ages,294,All causes,1,Number,2019,4252.350619,5016.629228,3505.330584,4253,5017,,Asia,771612,,Bhutan,771612,Asia
Bolivia,3,Both,22,All Ages,294,All causes,1,Number,2019,75910.01627,88752.51363,63483.31179,75911,88753,,South America,11673029,,Bolivia,11673029,South America
