location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,
Africa,3,Both,22,All Ages,294,All causes,1,Number,2001,9850665.154,10449172.26,9299884.976,9850666
America,3,Both,22,All Ages,294,All causes,1,Number,2001,5564373.438,5611897.914,5517518.157,5564374
Europe,3,Both,22,All Ages,294,All causes,1,Number,2001,8752855.112,8786025.044,8722758.92,8752856
Asia,3,Both,22,All Ages,294,All causes,1,Number,2001,26773289.19,27687391.75,25969689.74,26773290
Africa,3,Both,22,All Ages,294,All causes,1,Number,2002,9954272.248,10562744.34,9375883.277,9954273
Asia,3,Both,22,All Ages,294,All causes,1,Number,2002,26928926.17,27828769.28,26125620.5,26928927
America,3,Both,22,All Ages,294,All causes,1,Number,2002,5651293.934,5695740.663,5604983.719,5651294
Europe,3,Both,22,All Ages,294,All causes,1,Number,2002,8863656.342,8895680.879,8833598.924,8863657
America,3,Both,22,All Ages,294,All causes,1,Number,2005,5755450.103,5809105.57,5704110.181,5755451
Africa,3,Both,22,All Ages,294,All causes,1,Number,2003,10040073.56,10651027.79,9450705.262,10040074
Asia,3,Both,22,All Ages,294,All causes,1,Number,2005,27421402.1,28290707.5,26553295.59,27421403
Europe,3,Both,22,All Ages,294,All causes,1,Number,2005,8889608.315,8918316.338,8860067.18,8889609
Africa,3,Both,22,All Ages,294,All causes,1,Number,2005,9979873.975,10547210.43,9402821.158,9979874
America,3,Both,22,All Ages,294,All causes,1,Number,2004,5706809.85,5757954.213,5659493.183,5706810
Europe,3,Both,22,All Ages,294,All causes,1,Number,2003,8916507.647,8945379.299,8888988.11,8916508
America,3,Both,22,All Ages,294,All causes,1,Number,2003,5702199.996,5751501.638,5655982.167,5702200
Asia,3,Both,22,All Ages,294,All causes,1,Number,2003,26985284.14,27891410.83,26184284.77,26985285
Africa,3,Both,22,All Ages,294,All causes,1,Number,2004,10042739.11,10623848.44,9464220.108,10042740
Asia,3,Both,22,All Ages,294,All causes,1,Number,2004,27281403.2,28116919.75,26454938.99,27281404
Europe,3,Both,22,All Ages,294,All causes,1,Number,2004,8785903.057,8817020.354,8758446.058,8785904
